year,question_id,question_text,topic,similarity
2025,Q1,To provide a broad survey of different machine-learning approaches and techniques,To provide a broad survey of different machine-learning approaches and,0.9688
2025,Q1,To provide a broad survey of different machine-learning approaches and techniques,unsupervised machine learning approaches for,0.3464
2025,Q1,To provide a broad survey of different machine-learning approaches and techniques,techniques,0.2478
2025,Q2,To understand the principles and concepts of machine learning,To understand the principles and concepts of machine learning,1.0
2025,Q3,To learn regression and classification models,To learn regression and classification models,1.0
2025,Q3,To learn regression and classification models,Regression and Classification,0.5099
2025,Q3,To learn regression and classification models,Classification,0.2801
2025,Q4,To learn different clustering models,To learn different clustering models,1.0
2025,Q4,To learn different clustering models,To learn regression and classification models,0.1969
2025,Q5,To understand artificial neural networks (ANN) and Convolutional neural networks (CNN) concepts,To understand artificial neural networks (ANN) and Convolutional neural,0.8781
2025,Q5,To understand artificial neural networks (ANN) and Convolutional neural networks (CNN) concepts,Neural Networks,0.525
2025,Q5,To understand artificial neural networks (ANN) and Convolutional neural networks (CNN) concepts,networks (CNN) concepts,0.5024
2025,Q6,"To develop programming skills that help to build real-world applications based on machine learning Course Outcome: At the end of the course, the students will be able to: CO1: Solve typical machine learning problems Compare and contrast different data representations to facilitate CO2: learning Apply the concept of regression methods, classification methods, and CO3: clustering methods. Suggest supervised /unsupervised machine learning approaches for CO4: any application CO5: Implement algorithms using machine learning tools Design and implement various machine learning algorithms in a range CO6: of real-world applications. Syllabus: UNIT I Introduction: Introduction to Machine learning, Types of Machine Learning, Supervised Learning, Unsupervised Learning. The Curse of dimensionality, over fitting and under fitting, Model selection, Error analysis and validation, Parametric vs. non- parametric models. UNIT II Regression and Classification: Multiple Linear Regression, KNN model, Logistic Regression, Naïve Bayes Classifier, Decision trees, Support Vector Machines, Dimensionality reduction, Principal Component Analysis UNIT III Clustering: Clustering approaches, Mean Shift clustering, Clustering data points and features, Bi-clustering, Multi-view clustering, K-Means clustering, K-medians clustering, Expectation Maximization (EM). UNIT IV Neural Networks: Neural networks, Biological motivation for Neural Network, Neural network Representation, Perceptron, Feed forward networks, Multilayer Networks and Back Propagation Algorithms, Hidden layer representation, Application of neural network. UNIT V Applications and Tools: Linear models for regression, Reinforcement Learning, Machine Learning Tools, Engineering applications. Day Wise Lesson Plan: MODULE 1 Lecture Topics 1 Introduction to Machine Learning, definition, and real-world applications. 2 Types of machine learning - Supervised, Unsupervised, Semi supervised learning, Definitions and examples. 3 Regression - Linear Regression, Intuition, Cost Function 4 Linear Regression - Gradient Descent 5 Multiple Linear regression 6 Closed-form Equation, Type of Gradient Descent (Batch, Stochastic, Mini-batch) - Definition, properties. 7 Normalization and Standardization (definition and why), Overfitting and Underfitting 8 Bias, Variance, Bias and Variance trade-off 9 Regularization - Lasso Regularization, Ridge Regularization 10 ACTIVITY-1 MODULE 2 Lecture Topics 11 Classification, Logistic Regression - 1 (binary) 12 Logistic Regression - 2 (binary) 13 Nearest neighbour and K Nearest Neighbour 14 Error Analysis - Train/Test Split, validation set, Accuracy, Precision, Recall, F-measure, ROC curve, Confusion Matrix 15 Naive Bayes Classifier - 1 16 Naive Bayes Classifier - 2 17 Decision Tree: Introduction, Id3 Algorithm - 1 18 Decision Tree - Id3 Algorithm - 2 19 Decision Tree - Problem of Overfitting, Pre-pruning/post-pruning Decision Tree, Examples. 20 Support Vector Machine - Terminologies, Intuition, Learning, Derivation - 1 21 Support Vector Machine - Terminologies, Intuition, Learning, Derivation - 2 22 Support Vector Machine - KKT Condition - 3 23 Support Vector Machine - Kernel, Nonlinear Classification, and multi-class (Basic concept) - 4 24 ACTIVITY-2 MID SEMESTER 25 Principal Component Analysis - Steps, merits, demerits, Intuition - 1 26 Principal Component Analysis - Steps, merits, demerits, Intuition - 2 27 Understanding and Implementing PCA using SVD for dimensionality reduction MODULE 3 Lecture Topics 28 Clustering: Introduction, K-means Clustering - 1 29 K-Median Clustering - 2 30 K-Means Clustering – 3 (Numerical) 31 DBSCAN Clustering - Why we use?, parameters, characterization of points, steps, determining parameters, time/space complexities 32 Mean Shift Clustering 33 Hierarchical Clustering - Agglomerative Clustering, Single/Complete/Average/Centroid Linkage 34 Hierarchical Clustering - Divisive hierarchical clustering 35 ACTIVITY-3 MODULE 4 Lecture Topics 36 Introduction Neural networks, McCulloch-Pitts Neuron 37 Least Mean Square (LMS) Algorithm 38 Perceptron Model 39 Multilayer Perceptron (MLP) and Hidden layer representation 40 Non-linear problem solving, Activation Functions 41 Backpropagation Algorithm - 1 42 Backpropagation Algorithm - 2 43 Exploding Gradient Problem and Vanishing Gradient Problem, why and how to avoid 44 Introduction to Convolutional Neural Network (CNN) 45 Basic idea about their working and structure 46 Data Augmentation, Batch Normalization, Dropout 47 ACTIVITY-4 MODULE 5 Lecture Topics 48 Introduce machine learning tools like Scikit Learn, PyTorch, TensorFlow, Kaggle competitions, etc. Case Study (Any Two) Case Study – 1: Implement linear regression to predict house prices based on features like size, location, and number of rooms. Case Study – 2: Feature Extraction using PCA for Wine Dataset Case Study – 3: Classification using Iris Dataset Case Study – 4: Clustering using Iris Dataset Case Study – 5: Classification of MNIST Dataset using CNN Model Text books:",Machine Learning Tools,0.2779
2025,Q6,"To develop programming skills that help to build real-world applications based on machine learning Course Outcome: At the end of the course, the students will be able to: CO1: Solve typical machine learning problems Compare and contrast different data representations to facilitate CO2: learning Apply the concept of regression methods, classification methods, and CO3: clustering methods. Suggest supervised /unsupervised machine learning approaches for CO4: any application CO5: Implement algorithms using machine learning tools Design and implement various machine learning algorithms in a range CO6: of real-world applications. Syllabus: UNIT I Introduction: Introduction to Machine learning, Types of Machine Learning, Supervised Learning, Unsupervised Learning. The Curse of dimensionality, over fitting and under fitting, Model selection, Error analysis and validation, Parametric vs. non- parametric models. UNIT II Regression and Classification: Multiple Linear Regression, KNN model, Logistic Regression, Naïve Bayes Classifier, Decision trees, Support Vector Machines, Dimensionality reduction, Principal Component Analysis UNIT III Clustering: Clustering approaches, Mean Shift clustering, Clustering data points and features, Bi-clustering, Multi-view clustering, K-Means clustering, K-medians clustering, Expectation Maximization (EM). UNIT IV Neural Networks: Neural networks, Biological motivation for Neural Network, Neural network Representation, Perceptron, Feed forward networks, Multilayer Networks and Back Propagation Algorithms, Hidden layer representation, Application of neural network. UNIT V Applications and Tools: Linear models for regression, Reinforcement Learning, Machine Learning Tools, Engineering applications. Day Wise Lesson Plan: MODULE 1 Lecture Topics 1 Introduction to Machine Learning, definition, and real-world applications. 2 Types of machine learning - Supervised, Unsupervised, Semi supervised learning, Definitions and examples. 3 Regression - Linear Regression, Intuition, Cost Function 4 Linear Regression - Gradient Descent 5 Multiple Linear regression 6 Closed-form Equation, Type of Gradient Descent (Batch, Stochastic, Mini-batch) - Definition, properties. 7 Normalization and Standardization (definition and why), Overfitting and Underfitting 8 Bias, Variance, Bias and Variance trade-off 9 Regularization - Lasso Regularization, Ridge Regularization 10 ACTIVITY-1 MODULE 2 Lecture Topics 11 Classification, Logistic Regression - 1 (binary) 12 Logistic Regression - 2 (binary) 13 Nearest neighbour and K Nearest Neighbour 14 Error Analysis - Train/Test Split, validation set, Accuracy, Precision, Recall, F-measure, ROC curve, Confusion Matrix 15 Naive Bayes Classifier - 1 16 Naive Bayes Classifier - 2 17 Decision Tree: Introduction, Id3 Algorithm - 1 18 Decision Tree - Id3 Algorithm - 2 19 Decision Tree - Problem of Overfitting, Pre-pruning/post-pruning Decision Tree, Examples. 20 Support Vector Machine - Terminologies, Intuition, Learning, Derivation - 1 21 Support Vector Machine - Terminologies, Intuition, Learning, Derivation - 2 22 Support Vector Machine - KKT Condition - 3 23 Support Vector Machine - Kernel, Nonlinear Classification, and multi-class (Basic concept) - 4 24 ACTIVITY-2 MID SEMESTER 25 Principal Component Analysis - Steps, merits, demerits, Intuition - 1 26 Principal Component Analysis - Steps, merits, demerits, Intuition - 2 27 Understanding and Implementing PCA using SVD for dimensionality reduction MODULE 3 Lecture Topics 28 Clustering: Introduction, K-means Clustering - 1 29 K-Median Clustering - 2 30 K-Means Clustering – 3 (Numerical) 31 DBSCAN Clustering - Why we use?, parameters, characterization of points, steps, determining parameters, time/space complexities 32 Mean Shift Clustering 33 Hierarchical Clustering - Agglomerative Clustering, Single/Complete/Average/Centroid Linkage 34 Hierarchical Clustering - Divisive hierarchical clustering 35 ACTIVITY-3 MODULE 4 Lecture Topics 36 Introduction Neural networks, McCulloch-Pitts Neuron 37 Least Mean Square (LMS) Algorithm 38 Perceptron Model 39 Multilayer Perceptron (MLP) and Hidden layer representation 40 Non-linear problem solving, Activation Functions 41 Backpropagation Algorithm - 1 42 Backpropagation Algorithm - 2 43 Exploding Gradient Problem and Vanishing Gradient Problem, why and how to avoid 44 Introduction to Convolutional Neural Network (CNN) 45 Basic idea about their working and structure 46 Data Augmentation, Batch Normalization, Dropout 47 ACTIVITY-4 MODULE 5 Lecture Topics 48 Introduce machine learning tools like Scikit Learn, PyTorch, TensorFlow, Kaggle competitions, etc. Case Study (Any Two) Case Study – 1: Implement linear regression to predict house prices based on features like size, location, and number of rooms. Case Study – 2: Feature Extraction using PCA for Wine Dataset Case Study – 3: Classification using Iris Dataset Case Study – 4: Clustering using Iris Dataset Case Study – 5: Classification of MNIST Dataset using CNN Model Text books:",“Introduction to Machine Learning”,0.2779
